price,image,properties,title,brand,url
 6199 ,,"Тип - Ноутбук,Тип процессора - Intel Celeron N3050,Частота - 1.60 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",ASUS X553SA-XX005,,http://price.ua/asus/asus_x553sa-xx005/catc839t14m1352564.html
 17599 ,,"Тип - Ноутбук,Тип процессора - 6200U,Частота - 2.30 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1920x1080 пикс.",ASUS X556UQ-DM009D,,http://price.ua/asus/asus_x556uq-dm009d/catc839t14m1388181.html
 6333 ,,"Тип - Ноутбук,Тип процессора - AMD E2-7110,Частота - 1.80 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",HP 255 G5 W4M79EA,,http://price.ua/hp/hp_255_g5_w4m79ea/catc839t14m1527161.html
 11460 ,,"Тип - Ноутбук,Тип процессора - Intel Core i7-6700HQ,Частота - 2.60 ГГц,Диагональ экрана - 17.30 дюйм.,Разрешение экрана - 3840x2160 пикс.",Acer Aspire V Nitro VN7-792G-70BU (NX.G6UEU.002),,http://price.ua/acer/acer_aspire_v_nitro_vn7-792g-70bu_nx_g6ueu_002/catc839t14m1307240.html
 5778 ,http://i4.price.ua/images/model/839/1354893/2/1/type5/lenovo_ideapad_100s-11iby_80r20066ua_1835529.jpg,"Тип - Нетбук,Тип процессора - Z3735F,Частота - 1.33 ГГц,Диагональ экрана - 11.60 дюйм.,Разрешение экрана - 1366x768 пикс.",Lenovo IdeaPad 100s-11IBY(80R20066UA),,http://price.ua/lenovo/lenovo_ideapad_100s-11iby_80r20066ua/catc839t14m1354893.html
 22935 ,http://i1.price.ua/images/model/839/911977/2/1/type5/apple_macbook_air_13_mjve2_1429896.jpg,"Тип - Ноутбук,Тип процессора - 5250U,Частота - 1.60 ГГц,Диагональ экрана - 13.30 дюйм.,Разрешение экрана - 1440x900 пикс.",Apple MacBook Air MJVE2,,http://price.ua/apple/apple_macbook_air_13_mjve2/catc839t14m911977.html
 12293 ,http://i3.price.ua/images/model/839/1307642/2/1/type5/asus_x302ua-fn027d_1710625.jpg,"Тип - Ультрабук,Тип процессора - Intel Core i3-6100U,Частота - 2.30 ГГц,Диагональ экрана - 13.30 дюйм.,Разрешение экрана - 1366x768 пикс.",ASUS X302UA-FN027D,,http://price.ua/asus/asus_x302ua-fn027d/catc839t14m1307642.html
 6453 ,http://i2.price.ua/images/model/839/1527655/2/1/type5/lenovo_ideapad_g50-45_80e3024vua_2079823.jpg,"Тип - Ноутбук,Тип процессора - AMD A4-6210,Частота - 1.80 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",Lenovo IdeaPad G50-45 (80E3024VUA),,http://price.ua/lenovo/lenovo_ideapad_g50-45_80e3024vua/catc839t14m1527655.html
 5199 ,http://i3.price.ua/images/model/839/507597/2/1/type5/asus_t100ta-dk003h_574028.jpg,"Тип - Ноутбук,Тип процессора - Intel Atom Z3740,Частота - 1.33 ГГц,Диагональ экрана - 10.10 дюйм.,Разрешение экрана - 1366x768 пикс.",ASUS T100TA-DK003H,,http://price.ua/asus/asus_t100ta-dk003h/catc839t14m507597.html
 23563 ,http://i4.price.ua/images/model/839/1354851/2/1/type5/lenovo_ideapad_y700-15_80nv00d8pb_1793961.jpg,"Тип - Ноутбук,Тип процессора - Intel Core i7-6700HQ,Частота - 2.60 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1920x1080 пикс.",Lenovo IdeaPad Y700-15 (80NV00D8PB),,http://price.ua/lenovo/lenovo_ideapad_y700-15_80nv00d8pb/catc839t14m1354851.html
